Close,Date,High,Low,Open,Volume
0.77961,2015-01-01T22:00:00.000000000Z,0.78007,0.77924,0.77995,47
0.77977,2015-01-01T22:30:00.000000000Z,0.77977,0.77931,0.77966,38
0.77943,2015-01-01T23:00:00.000000000Z,0.77984,0.77921,0.77974,136
0.77923,2015-01-01T23:30:00.000000000Z,0.77958,0.77836,0.7794,297
0.77922,2015-01-02T00:00:00.000000000Z,0.77975,0.77922,0.77927,73
0.77884,2015-01-02T00:30:00.000000000Z,0.7792,0.77868,0.7792,90
0.77683,2015-01-02T01:00:00.000000000Z,0.77882,0.77678,0.77882,359
0.77643,2015-01-02T01:30:00.000000000Z,0.77722,0.77591,0.77686,424
0.77587,2015-01-02T02:00:00.000000000Z,0.77693,0.77577,0.77646,318
0.77605,2015-01-02T02:30:00.000000000Z,0.77643,0.77578,0.7759,188
0.77568,2015-01-02T03:00:00.000000000Z,0.77608,0.77532,0.77608,309
0.77568,2015-01-02T03:30:00.000000000Z,0.77589,0.77524,0.7757,188
0.7757,2015-01-02T04:00:00.000000000Z,0.77591,0.77558,0.77566,66
0.77466,2015-01-02T04:30:00.000000000Z,0.77577,0.77456,0.77572,219
0.77548,2015-01-02T05:00:00.000000000Z,0.77552,0.77469,0.77469,88
0.77549,2015-01-02T05:30:00.000000000Z,0.77596,0.77526,0.77546,298
0.7759,2015-01-02T06:00:00.000000000Z,0.77597,0.77541,0.77547,106
0.7758,2015-01-02T06:30:00.000000000Z,0.77608,0.77578,0.77588,57
0.77494,2015-01-02T07:00:00.000000000Z,0.77588,0.77492,0.77584,316
0.77551,2015-01-02T07:30:00.000000000Z,0.77571,0.77457,0.77492,341
0.77575,2015-01-02T08:00:00.000000000Z,0.77647,0.77538,0.77549,572
0.77552,2015-01-02T08:30:00.000000000Z,0.7762,0.7749,0.77573,670
0.77521,2015-01-02T09:00:00.000000000Z,0.77589,0.77521,0.77549,359
0.77483,2015-01-02T09:30:00.000000000Z,0.7753,0.77442,0.77518,429
0.77392,2015-01-02T10:00:00.000000000Z,0.7751,0.77382,0.77486,480
0.77393,2015-01-02T10:30:00.000000000Z,0.77433,0.77368,0.77394,330
0.7738,2015-01-02T11:00:00.000000000Z,0.77408,0.77349,0.7739,370
0.77275,2015-01-02T11:30:00.000000000Z,0.77377,0.77246,0.77377,300
0.77115,2015-01-02T12:00:00.000000000Z,0.7731,0.77114,0.77273,435
0.77087,2015-01-02T12:30:00.000000000Z,0.77112,0.77031,0.77112,373
0.77058,2015-01-02T13:00:00.000000000Z,0.77161,0.77048,0.77085,324
0.77097,2015-01-02T13:30:00.000000000Z,0.77142,0.77058,0.77061,243
0.77007,2015-01-02T14:00:00.000000000Z,0.77114,0.77007,0.771,365
0.77046,2015-01-02T14:30:00.000000000Z,0.77067,0.76996,0.77009,308
0.77247,2015-01-02T15:00:00.000000000Z,0.77248,0.77052,0.77052,771
0.77244,2015-01-02T15:30:00.000000000Z,0.77293,0.77205,0.77249,634
0.77212,2015-01-02T16:00:00.000000000Z,0.77272,0.77185,0.77247,697
0.77095,2015-01-02T16:30:00.000000000Z,0.77224,0.7706,0.7721,654
0.77055,2015-01-02T17:00:00.000000000Z,0.77122,0.7705,0.77097,360
0.7701,2015-01-02T17:30:00.000000000Z,0.77072,0.76972,0.77053,360
0.77033,2015-01-02T18:00:00.000000000Z,0.77043,0.76991,0.77008,180
0.77008,2015-01-02T18:30:00.000000000Z,0.77055,0.77,0.77035,115
0.76999,2015-01-02T19:00:00.000000000Z,0.77046,0.76996,0.7701,154
0.7708,2015-01-02T19:30:00.000000000Z,0.77086,0.76978,0.77001,305
0.77055,2015-01-02T20:00:00.000000000Z,0.77089,0.77036,0.77078,313
0.7697,2015-01-02T20:30:00.000000000Z,0.77082,0.76942,0.77052,269
0.76966,2015-01-02T21:00:00.000000000Z,0.76996,0.76909,0.76972,115
0.76998,2015-01-02T21:30:00.000000000Z,0.7707,0.7692,0.76963,304
0.76775,2015-01-04T22:00:00.000000000Z,0.76921,0.76698,0.76899,293
0.76692,2015-01-04T22:30:00.000000000Z,0.76864,0.76668,0.7678,310
0.76579,2015-01-04T23:00:00.000000000Z,0.76726,0.76528,0.76696,457
0.76627,2015-01-04T23:30:00.000000000Z,0.76732,0.76582,0.76583,335
0.76733,2015-01-05T00:00:00.000000000Z,0.76754,0.7663,0.7663,447
0.76711,2015-01-05T00:30:00.000000000Z,0.76859,0.76708,0.76736,473
0.76806,2015-01-05T01:00:00.000000000Z,0.76834,0.76711,0.76714,422
0.76662,2015-01-05T01:30:00.000000000Z,0.76816,0.76602,0.76804,456
0.76712,2015-01-05T02:00:00.000000000Z,0.76741,0.76643,0.76664,308
0.76499,2015-01-05T02:30:00.000000000Z,0.76715,0.76494,0.76715,500
0.76309,2015-01-05T03:00:00.000000000Z,0.76508,0.763,0.76502,507
0.76294,2015-01-05T03:30:00.000000000Z,0.7638,0.76193,0.76307,446
0.76252,2015-01-05T04:00:00.000000000Z,0.76372,0.76249,0.76292,378
0.76347,2015-01-05T04:30:00.000000000Z,0.76398,0.76209,0.76254,298
0.76342,2015-01-05T05:00:00.000000000Z,0.76394,0.76332,0.7635,168
0.76382,2015-01-05T05:30:00.000000000Z,0.76382,0.76252,0.7634,440
0.76313,2015-01-05T06:00:00.000000000Z,0.76379,0.76277,0.76379,261
0.76351,2015-01-05T06:30:00.000000000Z,0.76364,0.76282,0.76316,238
0.76394,2015-01-05T07:00:00.000000000Z,0.76417,0.76273,0.76348,472
0.76388,2015-01-05T07:30:00.000000000Z,0.76442,0.76373,0.76392,474
0.76476,2015-01-05T08:00:00.000000000Z,0.76495,0.76386,0.76386,489
0.7657,2015-01-05T08:30:00.000000000Z,0.76615,0.76474,0.76478,695
0.76682,2015-01-05T09:00:00.000000000Z,0.76682,0.76488,0.76574,430
0.76723,2015-01-05T09:30:00.000000000Z,0.76742,0.76669,0.76685,366
0.76653,2015-01-05T10:00:00.000000000Z,0.76773,0.76638,0.76721,517
0.76584,2015-01-05T10:30:00.000000000Z,0.76679,0.76575,0.76656,371
0.76662,2015-01-05T11:00:00.000000000Z,0.76667,0.76561,0.76586,362
0.76675,2015-01-05T11:30:00.000000000Z,0.76688,0.766,0.7666,447
0.76716,2015-01-05T12:00:00.000000000Z,0.76742,0.76652,0.76678,458
0.76689,2015-01-05T12:30:00.000000000Z,0.7672,0.76636,0.76718,436
0.76836,2015-01-05T13:00:00.000000000Z,0.7684,0.76674,0.76687,447
0.76821,2015-01-05T13:30:00.000000000Z,0.76944,0.76816,0.76838,550
0.76848,2015-01-05T14:00:00.000000000Z,0.7694,0.76799,0.76821,1176
0.76982,2015-01-05T14:30:00.000000000Z,0.76994,0.76838,0.76845,803
0.76964,2015-01-05T15:00:00.000000000Z,0.7703,0.76908,0.76985,784
0.7702,2015-01-05T15:30:00.000000000Z,0.77024,0.76943,0.76965,702
0.77104,2015-01-05T16:00:00.000000000Z,0.77199,0.7701,0.7702,766
0.77014,2015-01-05T16:30:00.000000000Z,0.77132,0.77005,0.77106,560
0.76994,2015-01-05T17:00:00.000000000Z,0.77012,0.76943,0.77009,263
0.76976,2015-01-05T17:30:00.000000000Z,0.77022,0.7695,0.76997,334
0.76944,2015-01-05T18:00:00.000000000Z,0.76977,0.76876,0.76977,919
0.76966,2015-01-05T18:30:00.000000000Z,0.7697,0.76876,0.76943,318
0.77063,2015-01-05T19:00:00.000000000Z,0.77129,0.7696,0.76965,495
0.77021,2015-01-05T19:30:00.000000000Z,0.77094,0.77005,0.77063,634
0.77049,2015-01-05T20:00:00.000000000Z,0.77066,0.77012,0.77024,368
0.76994,2015-01-05T20:30:00.000000000Z,0.77066,0.76988,0.77049,408
0.7689,2015-01-05T21:00:00.000000000Z,0.76996,0.76873,0.76994,361
0.76855,2015-01-05T21:30:00.000000000Z,0.76901,0.76836,0.76896,548
0.76856,2015-01-05T22:00:00.000000000Z,0.769,0.7684,0.76872,316
0.76858,2015-01-05T22:30:00.000000000Z,0.76945,0.76814,0.76857,900
0.76967,2015-01-05T23:00:00.000000000Z,0.76967,0.76862,0.76877,1029
0.76999,2015-01-05T23:30:00.000000000Z,0.7703,0.76965,0.76968,222
0.76872,2015-01-06T00:00:00.000000000Z,0.76999,0.76838,0.76998,505
0.77135,2015-01-06T00:30:00.000000000Z,0.77135,0.76846,0.76872,948
0.77034,2015-01-06T01:00:00.000000000Z,0.77136,0.77032,0.77134,464
0.77076,2015-01-06T01:30:00.000000000Z,0.7711,0.77025,0.77032,605
0.77222,2015-01-06T02:00:00.000000000Z,0.77224,0.77062,0.77077,722
0.77353,2015-01-06T02:30:00.000000000Z,0.77468,0.77221,0.77221,1336
0.77236,2015-01-06T03:00:00.000000000Z,0.7737,0.77221,0.77355,520
0.77282,2015-01-06T03:30:00.000000000Z,0.77302,0.77212,0.77237,257
0.7724,2015-01-06T04:00:00.000000000Z,0.77296,0.77199,0.77287,600
0.77259,2015-01-06T04:30:00.000000000Z,0.7728,0.77243,0.77243,380
0.77354,2015-01-06T05:00:00.000000000Z,0.77366,0.77258,0.77259,250
0.77377,2015-01-06T05:30:00.000000000Z,0.77416,0.7731,0.7735,549
0.77378,2015-01-06T06:00:00.000000000Z,0.77412,0.77338,0.77382,520
0.77448,2015-01-06T06:30:00.000000000Z,0.77502,0.77379,0.77379,546
0.77412,2015-01-06T07:00:00.000000000Z,0.77443,0.77361,0.77443,863
0.77278,2015-01-06T07:30:00.000000000Z,0.7745,0.77272,0.77412,938
0.77296,2015-01-06T08:00:00.000000000Z,0.77315,0.77223,0.77274,889
0.77449,2015-01-06T08:30:00.000000000Z,0.7747,0.77233,0.773,1215
